diagnosis,triage_color
polycystic kidney disease,orange
polycystic ovarian syndrome (pcos),orange
polycythemia vera,orange
polymyalgia rheumatica,orange
post-traumatic stress disorder (ptsd),orange
postoperative infection,orange
postpartum depression,orange
preeclampsia,orange
pregnancy,orange
premature atrial contractions (pacs),orange
premature ovarian failure,orange
premature rupture of amniotic membrane,orange
premature ventricular contractions (pvcs),orange
premenstrual tension syndrome,orange
presbyacusis,orange
presbyopia,orange
priapism,orange
primary immunodeficiency,orange
primary insomnia,orange
primary kidney disease,orange
primary thrombocythemia,orange
problem during pregnancy,orange
prostate cancer,orange
prostatitis,orange
protein deficiency,orange
pseudohypoparathyroidism,orange
pseudotumor cerebri,orange
psoriasis,orange
psychosexual disorder,orange
psychotic disorder,orange
pterygium,orange
pulmonary congestion,orange
pulmonary embolism,red
pulmonary eosinophilia,orange
pulmonary fibrosis,orange
pulmonary hypertension,orange
pulmonic valve disease,orange
pyelonephritis,orange
pyloric stenosis,orange
pyogenic skin infection,orange
raynaud disease,orange
reactive arthritis,orange
rectal disorder,orange
restless leg syndrome,orange
retinal detachment,red
retinopathy due to high blood pressure,orange
rhabdomyolysis,orange
rheumatic fever,orange
rheumatoid arthritis,orange
rocky mountain spotted fever,orange
rosacea,orange
rotator cuff injury,orange
salivary gland disorder,orange
sarcoidosis,orange
scabies,orange
scar,orange
scarlet fever,orange
schizophrenia,orange
sciatica,orange
scleritis,orange
scleroderma,orange
scoliosis,orange
scurvy,orange
seasonal allergies (hay fever),green
sebaceous cyst,green
seborrheic dermatitis,green
seborrheic keratosis,orange
sensorineural hearing loss,orange
sepsis,red
septic arthritis,orange
shingles (herpes zoster),orange
sialoadenitis,orange
sick sinus syndrome,orange
sickle cell anemia,orange
sickle cell crisis,orange
sinus bradycardia,orange
sjogren syndrome,orange
skin cancer,orange
skin disorder,orange
skin pigmentation disorder,green
skin polyp,green
smoking or tobacco addiction,orange
social phobia,orange
soft tissue sarcoma,orange
somatization disorder,orange
spermatocele,orange
spherocytosis,orange
spina bifida,orange
spinal stenosis,orange
spinocerebellar ataxia,orange
spondylitis,orange
spondylolisthesis,orange
spondylosis,orange
spontaneous abortion,orange
sporotrichosis,orange
sprain or strain,orange
stenosis of the tear duct,orange
stomach cancer,orange
strep throat,orange
stress incontinence,orange
stricture of the esophagus,orange
stroke,red
stye,green
subacute thyroiditis,orange
subarachnoid hemorrhage,red
subconjunctival hemorrhage,red
subdural hemorrhage,red
substance-related mental disorder,orange
syndrome of inappropriate secretion of adh (siadh),orange
syphilis,orange
syringomyelia,orange
systemic lupus erythematosis (sle),orange
teething syndrome,orange
temporary or benign blood in urine,orange
temporomandibular joint disorder,orange
tendinitis,orange
tension headache,orange
testicular cancer,orange
testicular disorder,orange
testicular torsion,red
thalassemia,orange
thoracic aortic aneurysm,orange
thoracic outlet syndrome,orange
threatened pregnancy,orange
thrombocytopenia,orange
thrombophlebitis,orange
thyroid cancer,orange
thyroid disease,orange
thyroid nodule,orange
tic (movement) disorder,orange
tietze syndrome,orange
tinnitus of unknown cause,orange
tonsillar hypertrophy,orange
tonsillitis,orange
tooth abscess,orange
tooth disorder,orange
torticollis,orange
tourette syndrome,orange
toxic multinodular goiter,orange
toxoplasmosis,orange
tracheitis,orange
transient ischemic attack,red
trichiasis,orange
trichinosis,orange
trichomonas infection,orange
tricuspid valve disease,orange
trigeminal neuralgia,orange
trigger finger (finger disorder),orange
tuberculosis,orange
tuberous sclerosis,orange
turner syndrome,orange
typhoid fever,red
ulcerative colitis,orange
urethral disorder,orange
urethral stricture,orange
urethral valves,orange
urethritis,orange
urge incontinence,orange
urinary tract infection,orange
urinary tract obstruction,red
uterine atony,orange
uterine cancer,orange
uterine fibroids,orange
uveitis,orange
vacterl syndrome,orange
vaginal cyst,orange
vaginal yeast infection,orange
vaginismus,orange
vaginitis,green
valley fever,orange
varicocele of the testicles,orange
varicose veins,orange
vasculitis,orange
venous insufficiency,orange
vertebrobasilar insufficiency,orange
vesicoureteral reflux,orange
viral exanthem,orange
viral hepatitis,orange
viral warts,green
vitamin a deficiency,orange
vitamin b12 deficiency,orange
vitamin d deficiency,orange
vitreous degeneration,orange
vitreous hemorrhage,red
vocal cord polyp,orange
volvulus,orange
von willebrand disease,orange
vulvar cancer,orange
vulvar disorder,orange
vulvodynia,green
wernicke korsakoff syndrome,orange
white blood cell disease,orange
whooping cough,orange
wilson disease,orange
yeast infection,green
zenker diverticulum,orange
